Plate ID,Abbreviation,Name and Description
737,ELB,East Luzon Block
738,SPA,South Palawan
740,Jun-04,Junction 4 
750,MLV,Malvinas Plate
752,LOI1,Isochron of AFR-IBR  Ligurian Ocean
762,WAL,Wallaby/W.Cuvier
763,ZEN,Zenith Plateau
765,WWQ,West Wallaby/Quokka Rise
767,CHR,CHRISP Jurassic sliver
769,WAR,West Argoland
774,PER,West Perth Block/Gulden Draak and Batavia Knolls
780,NPMOL,North Proto Molucca Isochrons
781,SPMOL,South Proto Molucca Plate
784,CRZ,Crozet
786,Jun-03,Junction 3
787,WOY2,Woyla backarc 2 
789,WOY1,Woyla backarc
790,XXX,XXXXX
791,XXX,XXXXX
792,XXX,XXXXX
793,XXX,XXXXX
7701,TUN,Tunisia
7714,DEMB,Demerara Rise
7715,,Eastern Mediterranean (Herodotus Basin) synthetic isochrons
7721,RIFJ,Jurassic crust in the Gulf of Cadiz
7998,VEM,Vema Channel
7999,VEM,Vema Channel
70822,GKAB2,Grande Kabylie2
70833,GKAB3,Grande Kabylie3
70844,GKAB4,Grande Kabylie4
7000,India and Central Asia,
7017,BNS,Bangong Nujiang suture east of Karakoram Fault
7018,JINW,Jinsha suture west of Karakoram Fault
7019,JSEK,Jinsha suture east of Karakoram Fault 
7020,JINE,Jinsha suture east of Altyn Tagh Fault
7023,AKMEA,Ayimaqin-Kunlun-Mutztagh suture east of Altyn Tagh Fault
7025,STSS,South Tien Shan suture: Kazakhstan collage - Tarim suture east of Talasso Fergana Fault
7034,DAF,Darvaz Fault
7035,NPT,North Pamir Thrust 
7051,LUGF,Longmu Ghoza fault
7054,SATF,Southern part Altyn Tagh fault between Karakax and southern boundary Tianshaihui-Kunlun system
7056,NTQS,Northern thrust Qilian Shan
7058,NMQ,Northern margin Qaidam marker line
7079,TAM,Tarim
7084,JKE,Jinsha Karakoram East
7241,JIN2,Jinsha 2
7250,BANS,Neotethys suture Burma-Andaman; western boundary Burma-Andaman Block
800,Australia and Antarctica,
801,AUS,Australia
802,ANT,Antarctica
804,MBL,Marie Byrd Land
806,NNZ,North New Zealand
